"","Project","KLOC","NCC","NCC_ANA","NCC_CHA","NCC_COR","NCC_EFF","NCC_MAT","NCC_POR","NCC_REL","NCC_RES","NCC_REU","NCC_SEC","NCC_TES","NCC_THR","RKO_ANA","RKO_CHA","RKO_COR","RKO_EFF","RKO_MAT","RKO_POR","RKO_REL","RKO_REU","RKO_SEC","RKO_TES","RKO_THR","ROKR","ROKR_ANA","ROKR_CHA","ROKR_COR","ROKR_EFF","ROKR_MAT","ROKR_POR","ROKR_REL","ROKR_RES","ROKR_REU","ROKR_SEC","ROKR_TES","ROKR_THR","ROK_ANA","ROK_CHA","ROK_COR","ROK_EFF","ROK_MAT","ROK_POR","ROK_REL","ROK_RES","ROK_REU","ROK_SEC","ROK_TES","ROK_THR","RULES","RULES_ANA","RULES_CHA","RULES_COR","RULES_EFF","RULES_MAT","RULES_POR","RULES_REL","RULES_RES","RULES_REU","RULES_SEC","RULES_TES","RULES_THR","NCC_ANA_IDX","NCC_CHA_IDX","NCC_REL_IDX","NCC_REU_IDX"
"1","capella",672,98283,14098,2848,17,2587,12,10,4996,0,77424,128,1765,6,37,12,4,10,2,1,16,8,7,1,1,40.8450704225352,41.2698412698413,36.8421052631579,94.2028985507246,41.1764705882353,0,66.6666666666667,65.9574468085106,0,55.5555555555556,73.0769230769231,0,87.5,26,7,65,7,0,2,31,0,10,19,0,7,213,63,19,69,17,2,3,47,0,18,26,1,8,20.9791666666667,4.23809523809524,7.43452380952381,115.214285714286
"2","cdt",1224,181350,28410,5153,216,3401,201,468,7183,0,139754,2244,1102,132,46,14,22,11,2,2,21,13,13,1,3,58.2159624413146,26.984126984127,26.3157894736842,68.1159420289855,35.2941176470588,0,33.3333333333333,55.3191489361702,0,27.7777777777778,50,0,62.5,17,5,47,6,0,1,26,0,5,13,0,5,213,63,19,69,17,2,3,47,0,18,26,1,8,23.2107843137255,4.20996732026144,5.86846405228758,114.178104575163
"3","ease",18,3434,574,107,5,81,2,21,265,0,2517,12,26,4,21,7,2,7,1,1,11,8,2,1,1,23.943661971831,66.6666666666667,63.1578947368421,97.1014492753623,58.8235294117647,50,66.6666666666667,76.5957446808511,0,55.5555555555556,92.3076923076923,0,87.5,42,12,67,10,1,2,36,0,10,24,0,7,213,63,19,69,17,2,3,47,0,18,26,1,8,31.8888888888889,5.94444444444444,14.7222222222222,139.833333333333
"4","egit",124,19775,1491,229,1,195,1,2,353,0,17781,21,44,22,9,1,6,1,2,11,8,3,1,26.2910798122066,65.0793650793651,52.6315789473684,98.5507246376812,64.7058823529412,50,33.3333333333333,76.5957446808511,0,55.5555555555556,88.4615384615385,0,41,10,68,11,1,1,36,0,10,23,0,213,63,19,69,17,2,3,47,0,18,26,1,8,NA,NA,NA,NA,12.0241935483871,1.84677419354839,2.84677419354839,143.395161290323
"5","emf-compare",124,29295,1153,149,225,4,518,0,27577,6,46,23,7,7,1,11,7,1,1,23.4741784037559,63.4920634920635,63.1578947368421,58.8235294117647,66.6666666666667,76.5957446808511,0,61.1111111111111,96.1538461538462,0,40,12,10,2,36,0,11,25,0,213,63,19,69,17,2,3,47,0,18,26,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.29838709677419,1.20161290322581,222.395161290323,0.370967741935484
"6","gendoc",20,3081,305,85,7,53,17,27,91,0,2532,71,29,1,22,7,3,7,2,1,9,7,6,1,1,26.7605633802817,65.0793650793651,63.1578947368421,95.6521739130435,58.8235294117647,0,66.6666666666667,80.8510638297872,0,61.1111111111111,76.9230769230769,0,87.5,41,12,66,10,0,2,38,0,11,20,0,7,213,63,19,69,17,2,3,47,0,18,26,1,8,15.25,4.25,4.55,126.6
"7","hudson",150,11930,1741,511,17,347,78,68,380,0,9043,86,34,11,29,10,3,10,2,2,19,8,9,1,1,38.4976525821596,53.968253968254,47.3684210526316,95.6521739130435,41.1764705882353,0,33.3333333333333,59.5744680851064,0,55.5555555555556,65.3846153846154,0,87.5,34,9,66,7,0,1,28,0,10,17,0,7,213,63,19,69,17,2,3,47,0,18,26,1,8,11.6066666666667,3.40666666666667,2.53333333333333,60.2866666666667
"8","kitalpha",108,24059,6859,346,3,2216,13,56,707,0,14054,457,85,1,28,10,3,9,2,1,13,8,5,1,1,32.3943661971831,55.5555555555556,47.3684210526316,95.6521739130435,47.0588235294118,0,66.6666666666667,72.3404255319149,0,55.5555555555556,80.7692307692308,0,87.5,35,9,66,8,0,2,34,0,10,21,0,7,213,63,19,69,17,2,3,47,0,18,26,1,8,63.5092592592593,3.2037037037037,6.5462962962963,130.12962962963
"9","mylyn",3,1024,4,8,162,5,119,217,30,0,257,454,0,78,1,2,12,1,2,1,4,4,11,0,2,15.0234741784038,98.4126984126984,89.4736842105263,82.6086956521739,94.1176470588235,0,66.6666666666667,91.4893617021277,0,77.7777777777778,57.6923076923077,0,75,62,17,57,16,0,2,43,0,14,15,0,6,213,63,19,69,17,2,3,47,0,18,26,1,8,1.33333333333333,2.66666666666667,10,85.6666666666667
"10","oomph",505,16025,2200,555,11,274,26,61,1254,0,12205,67,150,10,27,11,3,9,1,2,14,8,5,1,2,31.924882629108,57.1428571428571,42.1052631578947,95.6521739130435,47.0588235294118,50,33.3333333333333,70.2127659574468,0,55.5555555555556,80.7692307692308,0,75,36,8,66,8,1,1,33,0,10,21,0,6,213,63,19,69,17,2,3,47,0,18,26,1,8,4.35643564356436,1.0990099009901,2.48316831683168,24.1683168316832
