Project,QM_ANA,QM_CHA,QM_ECOSYSTEM,QM_FEEDBACK,QM_ITS,QM_PLAN,QM_PROCESS,QM_PRODUCT,QM_QUALITY,QM_REL,QM_REU,QM_SCM,QM_TST,QM_USAGE
modeling.emfcompare,3.6,3.8,1.5,2.0,5.0,4.5,4.8,3.9,3.4,4.0,4.0,5.0,4.7,1.0
modeling.gendoc,3.6,4.1, , ,5.0,3.5,3.8,3.9,3.8,4.0,3.8,5.0,1.5, 
modeling.mdt.papyrus,2.0,2.0, , ,5.0,2.5,4.2,3.0,3.6,3.2,5.0,5.0, , 
modeling.sirius,3.0,3.0,1.5,1.0,5.0,2.0,4.0,3.8,3.1,4.0,5.0,5.0, ,2.0
polarsys.capella,2.8,2.8, , ,5.0,3.5,3.8,2.9,3.3,2.9,3.2,5.0,1.5, 
polarsys.kitalpha,4.0,3.0, , ,5.0,1.5,3.8,4.2,4.0,5.0,5.0,5.0, , 
technology.ease,3.5,4.2, , ,5.0,1.5,3.6,3.7,3.7,4.2,3.0,5.0,3.0, 
tools.cdt,2.1,2.9,3.0,2.0,5.0,3.0,4.0,2.6,3.2,2.5,2.9,5.0,3.0,4.0
tools.cdt.tcf,3.0,2.0, , ,5.0,2.5,4.2,3.2,3.7,3.8,4.0,5.0, , 
tools.tracecompass,3.0,4.0, , ,5.0,2.0,4.0,4.2,4.1,5.0,5.0,5.0, , 
