metrics,cdt
COMR,16.4
DL_REPO_1M,572801
DL_UPDATE_SITE_1M,3359
FU_CLONE,115314
ITS_AUTH_1M,0.058
ITS_BUGS_DENSITY,0.08
ITS_FIX_MED_1M,6.15
ITS_UPDATES_1M,0.2177
MKT_FAV,7
MKT_INSTALL_SUCCESS_1M,3058
MLS_DEV_RESP_RATIO_1M,2.14
MLS_DEV_RESP_TIME_MED_1M,0.18
MLS_DEV_SUBJ_1M,0.0317
MLS_DEV_VOL_1M,0.0996
MLS_USR_RESP_RATIO_1M,2.14
MLS_USR_RESP_TIME_MED_1M,0.18
MLS_USR_SUBJ_1M,0.0317
MLS_USR_VOL_1M,0.0996
NCC_ANA,28410
NCC_ANA_IDX,31.08
NCC_CHA,5153
NCC_CHA_IDX,5.64
NCC_COR,216
NCC_EFF,3401
NCC_MAT,201
NCC_POR,468
NCC_REL,7183
NCC_REL_IDX,7.86
NCC_RES,0
NCC_REU,139754
NCC_REU_IDX,152.9
NCC_SEC,2244
NCC_TES,1102
NCC_THR,132
PLAN_MILESTONES_VOL,0
PLAN_REVIEWS_SUCCESS_RATE,40
PUB_ITS_INFO_PMI,5
PUB_SCM_INFO_PMI,4
RKO_ANA,46
RKO_CHA,14
RKO_COR,22
RKO_EFF,11
RKO_MAT,2
RKO_POR,2
RKO_REL,21
RKO_REU,13
RKO_SEC,13
RKO_TES,1
RKO_THR,3
ROKR_ANA,26.984126984127
ROKR_CHA,26.3157894736842
ROKR_COR,68.1159420289855
ROKR_EFF,35.2941176470588
ROKR_MAT,0
ROKR_POR,33.3333333333333
ROKR_REL,55.3191489361702
ROKR_RES,0
ROKR_REU,27.7777777777778
ROKR_SEC,50
ROKR_TES,0
ROKR_THR,62.5
ROK_ANA,17
ROK_CHA,5
ROK_COR,47
ROK_EFF,6
ROK_MAT,0
ROK_POR,1
ROK_REL,26
ROK_RES,0
ROK_REU,5
ROK_SEC,13
ROK_TES,0
ROK_THR,5
RULES,213
RULES_ANA,63
RULES_CHA,19
RULES_COR,69
RULES_EFF,17
RULES_MAT,2
RULES_POR,3
RULES_REL,47
RULES_RES,0
RULES_REU,18
RULES_SEC,26
RULES_TES,1
RULES_THR,8
SCM_COMMITS_1M,0.1236
SCM_COMMITTED_FILES_1M,0.2516
SCM_COMMITTERS_1M,0.024
SLOC,914354
TST_COV_LINES,63.18
VG,247
