indicators,example
COMR,5
DL_REPO_1M,5
DL_UPDATE_SITE_1M,5
ITS_AUTH_1M,5
ITS_BUGS_DENSITY,1
ITS_FIX_MED_1M,5
ITS_UPDATES_1M,5
MKT_FAV,1
MKT_INSTALL_SUCCESS_1M,4
MLS_DEV_AUTH_1M,5
MLS_DEV_RESP_RATIO_1M,3
MLS_DEV_SUBJ_1M,5
MLS_DEV_VOL_1M,5
NCC_ANA_IDX,4
NCC_CHA_IDX,4
NCC_REL_IDX,4
NCC_REU_IDX,5
PLAN_MILESTONES_VOL,1
PLAN_REVIEWS_SUCCESS_RATE,3
PUB_ITS_INFO_PMI,5
PUB_SCM_INFO_PMI,5
ROKR_ANA,2
ROKR_CHA,2
ROKR_REL,3
ROKR_REU,2
SCM_COMMITS_1M,5
SCM_COMMITTED_FILES_1M,5
SCM_COMMITTERS_1M,5
SLOC,4
TST_COV_LINES,5
VG,5
