Project,BRANCH_COVERAGE,COMMENT_LINES_DENSITY,COMPLEXITY,DUPLICATED_LINES,DUPLICATED_LINES_DENSITY,FUNCTIONS,FUNCTION_COMPLEXITY,IS_FB_OK,IS_PMD_OK,ITS_AUTH_3M,ITS_BUGS_DENSITY,ITS_BUGS_OPEN,ITS_FIX_MED_3M,ITS_UPDATES_3M,LINE_COVERAGE,MKT_FAV,MKT_INSTALL_SUCCESS_1M,MLS_DEV_AUTH_3M,MLS_DEV_RESP_RATIO_3M,MLS_DEV_RESP_TIME_MED_3M,MLS_DEV_SUBJ_3M,MLS_DEV_VOL_3M,MLS_USR_AUTH_3M,MLS_USR_RESP_RATIO_3M,MLS_USR_RESP_TIME_MED_3M,MLS_USR_SUBJ_3M,MLS_USR_VOL_3M,NCC,NCC_ANA,NCC_ANA_IDX,NCC_CHA,NCC_CHA_IDX,NCC_REL,NCC_REL_IDX,NCC_REU,NCC_REU_IDX,NCLOC,PLAN_MILESTONES_VOL,PLAN_REVIEWS_SUCCESS_RATE,PUBLIC_API,PUB_ITS_INFO_PMI,PUB_SCM_INFO_PMI,RKO_ANA,RKO_CHA,RKO_REL,RKO_REU,ROKR,ROKR_ANA,ROKR_CHA,ROKR_REL,ROKR_REU,ROK_ANA,ROK_CHA,ROK_REL,ROK_REU,RULES,RULES_ANA,RULES_CHA,RULES_REL,RULES_REU,SCM_COMMITS_3M,SCM_COMMITTED_FILES_3M,SCM_COMMITTERS_3M,SCM_STABILITY_3M,TESTS,TEST_SUCCESS_DENSITY,TST_VOL_IDX,UNCOVERED_LINES
modeling.emfcompare,46.3,27.9,19501,26831,12.1,9499,2,1,1,9,0.05,28,26.95,64,72,14,80,14,1,0.05,13,26,6,2.5,,6,21,585,466,0.00413417436279598,119,0.0010557226377097,114,0.00101136454368829,0,,117433,12,80,6986,5,5,5,4,5,0,18.0327868852459,58.3333333333333,50,81.4814814814815,,7,4,22,0,61,12,8,27,4,81,487,7,1.21,1663,100,14.1612664242589,19976
modeling.gendoc,0,16.4,3185,491,1.6,1268,2.5,1,1,4,0.1,13,102.82,22,0,,,0,,,0,0,4,5.33,28.77,3,19,161,103,0.00605775451390931,77,0.00452861259777686,20,0.00117626301240957,1,5.88131506204787e-05,17003,3,100,1292,5,5,6,4,4,1,19.672131147541,50,50,85.1851851851852,75,6,4,23,3,61,12,8,27,4,0,0,0,,0,,0,7413
modeling.mdt.papyrus,,,,,,,,1,1,65,0.04,1912,35.18,1445,,,,25,2.67,0.03,70,257,57,2.63,0.08,115,417,19362,12441,,5792,,6055,,3,,,7,20,,5,5,10,6,11,1,39.344262295082,16.6666666666667,25,59.2592592592593,75,2,2,16,3,61,12,8,27,4,885,16708,30,1.18,,,,
modeling.sirius,,27.3,30395,8623,3.2,11946,2.5,1,1,26,0.06,385,28.82,438,,6,219,6,0.15,1.83,26,30,41,3.01,1,73,293,2178,1637,12.4015151515152,985,7.46212121212121,332,2.51515151515152,8,0.0606060606060606,132900,5,0,7408,5,5,8,5,6,1,27.8688524590164,33.3333333333333,37.5,77.7777777777778,75,4,3,21,3,61,12,8,27,4,397,2787,13,1.5,,,,
polarsys.capella,0,20.5,101328,153298,19.3,32613,3.1,1,1,15,0.03,95,2.1,178,0,,,,,,,,,,,,,6391,3957,8.62091503267974,2658,5.79084967320261,2223,4.84313725490196,8,0.0174291938997821,459338,1,100,21369,5,5,8,5,8,1,29.5081967213115,33.3333333333333,37.5,70.3703703703704,75,4,3,19,3,61,12,8,27,4,127,1601,9,1.39,0,,0,231430
polarsys.kitalpha,,,,,,,,1,1,3,0.02,39,3.61,55,,,,,,,,,,,,,,2481,1067,,566,,1249,,6,,,1,0,,5,5,6,5,6,1,22.9508196721311,50,37.5,77.7777777777778,75,6,3,21,3,61,12,8,27,4,86,2520,5,1.09,,,,
technology.ease,9.6,14.5,5100,303,0.8,1839,2.8,1,1,6,0.82,32,0.97,164,11.9,,,8,3.54,0.11,13,59,5,2.85,,13,50,155,124,0.00563738861611202,66,0.00300054555373704,13,0.000591016548463357,1,4.54628114202582e-05,21996,0,33.3333333333333,1126,5,5,5,5,4,1,18.0327868852459,58.3333333333333,37.5,85.1851851851852,75,7,3,23,3,61,12,8,27,4,146,355,4,1.76,71,100,3.22785961083833,9742
tools.cdt,34.9,16.4,227592,116784,8.2,73136,3.1,1,1,95,0.03,4370,23.49,477,36.5,10,3131,45,2.74,0.11,88,329,73,0.95,4.55,116,226,10690,6488,7.04451682953312,4376,4.7513572204126,2208,2.39739413680782,84,0.0912052117263844,921746,0,100,42786,5,5,10,7,11,3,44.2622950819672,16.6666666666667,12.5,59.2592592592593,25,2,1,16,1,61,12,8,27,4,257,1374,27,1.35,721,100,0.782211151445192,331376
tools.cdt.tcf,,,,,,,,1,1,15,0.04,146,5.61,126,,,,13,2.63,0.35,16,58,0,,,0,0,2524,1894,,971,,268,,12,,,0,60,,5,5,8,7,8,2,31.1475409836066,33.3333333333333,12.5,70.3703703703704,50,4,1,19,2,61,12,8,27,4,191,1369,10,1.79,,,,
tools.tracecompass,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,749,674,,238,,68,,7,,,0,50,,5,5,7,4,4,1,19.672131147541,41.6666666666667,50,85.1851851851852,75,5,4,23,3,61,12,8,27,4,,,,,,,,
