Project,BRANCH_COVERAGE,COMMENT_LINES_DENSITY,DUPLICATED_LINES_DENSITY,FUNCTION_COMPLEXITY,ITS_AUTH_1M,ITS_BUGS_DENSITY,ITS_BUGS_OPEN,ITS_FIX_MED_1M,ITS_UPDATES_1M,LINE_COVERAGE,MKT_FAV,MKT_INSTALL_SUCCESS_1M,MLS_DEV_AUTH_1M,MLS_DEV_RESP_RATIO_1M,MLS_DEV_RESP_TIME_MED_1M,MLS_DEV_SUBJ_1M,MLS_DEV_VOL_1M,MLS_USR_AUTH_1M,MLS_USR_RESP_RATIO_1M,MLS_USR_RESP_TIME_MED_1M,MLS_USR_SUBJ_1M,MLS_USR_VOL_1M,NCC_ANA_IDX,NCC_CHA_IDX,NCC_REL_IDX,NCC_REU_IDX,NCLOC,PLAN_MILESTONES_VOL,PLAN_REVIEWS_SUCCESS_RATE,PUBLIC_API,PUB_ITS_INFO_PMI,PUB_SCM_INFO_PMI,ROKR_ANA,ROKR_CHA,ROKR_REL,ROKR_REU,SCM_COMMITS_1M,SCM_COMMITTED_FILES_1M,SCM_COMMITTERS_1M,SCM_STABILITY_1M,TEST_SUCCESS_DENSITY,TST_VOL_IDX
modeling.emfcompare,4,4,4,5,3,4,5,3,4,4,2,2,3,1,5,3,3,3,1,4,2,3,5,5,5,5,3,4,5,3,5,5,4,4,5,5,4,3,4,3,5,5
modeling.gendoc,2,3,5,4,1,4,5,5,1,2,,,1,1,5,1,1,1,1,5,1,1,5,5,5,5,5,2,5,5,5,5,4,4,5,5,1,1,1,5,,1
modeling.papyrus,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,,,,,,,1,1,1,1,,,,,,
modeling.sirius,,,,,4,4,2,2,4,,1,2,,,,,,4,4,3,4,5,5,5,5,5,,3,1,,5,5,1,1,1,1,5,4,4,3,,
polarsys.capella,,,,,3,4,4,5,4,,,,,,,,,,,,,,5,5,5,5,,2,5,,5,5,1,1,1,1,4,4,4,3,,
polarsys.kitalpha,,,,,2,4,5,5,3,,,,,,,,,,,,,,5,5,5,5,,2,1,,5,5,1,1,1,1,1,1,1,5,,
polarsys.reqcycle,,,,,1,5,5,5,1,,,,,,,,,,,,,,5,5,5,5,,1,1,,5,5,1,1,1,1,1,1,1,5,,
polarsys.tracecompass,4,4,5,3,4,4,3,2,4,4,,,4,2,4,3,3,1,1,5,1,1,5,5,5,5,3,,,4,,,3,4,5,5,4,4,4,3,5,5
technology.ease,2,2,5,4,3,2,5,4,4,2,,,3,4,5,2,3,3,3,4,3,3,5,5,5,,5,1,3,5,5,5,5,4,5,,4,4,3,3,5,2
tools.cdt,3,3,5,3,4,4,1,3,4,3,2,4,5,4,4,5,5,5,2,2,5,4,1,1,1,5,1,1,5,2,5,5,1,1,1,1,4,4,4,3,5,4
tools.cdt.tcf,,,,,3,4,3,3,4,,,,4,4,3,3,4,1,1,5,1,1,5,5,5,5,,1,4,,5,5,1,1,1,1,4,4,4,4,,
