metrics,papyrus
DL_REPO_1M,0
DL_UPDATE_SITE_1M,0
ITS_AUTH_1M,0.013
ITS_BUGS_DENSITY,0.03
ITS_FIX_MED_1M,33.67
ITS_UPDATES_1M,0.076
MKT_FAV,0
MKT_INSTALL_FAILED_1M,0
MKT_INSTALL_SUCCESS_1M,0
MLS_DEV_RESP_RATIO_1M,2.64
MLS_DEV_RESP_TIME_MED_1M,0.02
MLS_DEV_SUBJ_1M,0.0034
MLS_DEV_VOL_1M,0.0125
MLS_USR_RESP_RATIO_1M,2.64
MLS_USR_RESP_TIME_MED_1M,0.02
MLS_USR_SUBJ_1M,0.0034
MLS_USR_VOL_1M,0.0125
NCC,267755
NCC_ANA,29045
NCC_ANA_IDX,9.11
NCC_CHA,4271
NCC_CHA_IDX,1.34
NCC_COR,15
NCC_EFF,4116
NCC_MAT,25
NCC_POR,16
NCC_REL,7350
NCC_REL_IDX,2.3
NCC_RES,0
NCC_REU,229594
NCC_REU_IDX,71.99
NCC_SEC,654
NCC_TES,1322
NCC_THR,2
PLAN_MILESTONES_VOL,21
PLAN_REVIEWS_SUCCESS_RATE,33
PUB_ITS_INFO_PMI,5
PUB_SCM_INFO_PMI,5
RKO_ANA,39
RKO_CHA,11
RKO_COR,8
RKO_EFF,10
RKO_MAT,2
RKO_POR,1
RKO_REL,15
RKO_REU,8
RKO_SEC,10
RKO_TES,1
RKO_THR,1
ROKR,46.0093896713615
ROKR_ANA,38.0952380952381
ROKR_CHA,42.1052631578947
ROKR_COR,88.4057971014493
ROKR_EFF,41.1764705882353
ROKR_MAT,0
ROKR_POR,66.6666666666667
ROKR_REL,68.0851063829787
ROKR_RES,0
ROKR_REU,55.5555555555556
ROKR_SEC,61.5384615384615
ROKR_TES,0
ROKR_THR,87.5
ROK_ANA,24
ROK_CHA,8
ROK_COR,61
ROK_EFF,7
ROK_MAT,0
ROK_POR,2
ROK_REL,32
ROK_RES,0
ROK_REU,10
ROK_SEC,16
ROK_TES,0
ROK_THR,7
RULES,213
RULES_ANA,63
RULES_CHA,19
RULES_COR,69
RULES_EFF,17
RULES_MAT,2
RULES_POR,3
RULES_REL,47
RULES_RES,0
RULES_REU,18
RULES_SEC,26
RULES_TES,1
RULES_THR,8
SCM_COMMITS_1M,0.01066
SCM_COMMITTED_FILES_1M,0.199
SCM_COMMITTERS_1M,0.0025
SLOC,3189517
