project,plan_milestones_vol,plan_reviews_success_rate,pub_scm_info,pub_its_info
birt,12,40,4,5
datatools,6,60,4,5
datatools.connectivity,0,0,4,5
datatools.enablement,0,0,4,5
datatools.incubator,0,0,4,5
datatools.modelbase,0,0,4,5
datatools.sqltools,0,0,4,5
ecd,0,0,0,0
eclipse,14,20,0,5
eclipse.e4,0,25,4,5
eclipse.jdt,0,0,4,5
eclipse.jdt.core,0,0,4,5
eclipse.jdt.debug,0,0,4,5
eclipse.jdt.ui,0,0,4,5
eclipse.orion,15,80,4,5
eclipse.pde,0,0,4,5
eclipse.platform,0,0,4,5
eclipse.platform.debug,0,0,4,0
eclipse.platform.releng,0,0,4,0
eclipse.platform.resources,0,0,4,5
eclipse.platform.swt,0,0,4,5
eclipse.platform.text,0,0,4,0
eclipse.platform.ui,0,0,4,5
iot,0,0,0,0
iot.californium,2,0,4,5
iot.concierge,0,0,4,5
iot.eclipsescada,6,50,4,5
iot.krikkit,0,0,4,0
iot.kura,0,50,4,5
iot.mihini,3,100,4,5
iot.moquette,0,0,4,0
iot.mosquitto,0,0,4,5
iot.om2m,0,0,4,5
iot.paho,0,50,4,5
iot.paho.incubator,0,0,0,0
iot.ponte,0,0,4,5
iot.smarthome,0,100,4,5
iot.vorto,0,0,0,0
iot.wakaama,0,0,4,5
modeling,0,0,0,5
modeling.acceleo,12,80,4,5
modeling.amalgam,3,80,4,5
modeling.amp,0,100,4,5
modeling.eatop,0,0,0,0
modeling.ecoretools,0,20,4,5
modeling.ecp,21,60,4,5
modeling.edapt,1,50,4,5
modeling.emf,0,0,0,5
modeling.emf-parsley,0,0,4,5
modeling.emf.cdo,0,80,4,5
modeling.emf.diffmerge,10,40,4,5
modeling.emf.egf,35,40,4,5
modeling.emf.emf,0,60,4,5
modeling.emf.mwe,0,80,4,5
modeling.emf.query,0,80,4,5
modeling.emf.teneo,0,0,4,5
modeling.emf.transaction,0,60,4,5
modeling.emf.validation,0,80,4,5
modeling.emfcompare,12,80,4,5
modeling.emfstore,11,60,4,5
modeling.emft,0,100,0,5
modeling.emft.b3,0,0,4,5
modeling.emft.eef,4,80,4,5
modeling.emft.emf-facet,36,80,4,5
modeling.emft.emfatic,0,0,4,5
modeling.emft.featuremodel,0,0,4,5
modeling.emft.henshin,0,0,4,5
modeling.emft.refactor,0,0,4,5
modeling.emft.texo,0,0,4,5
modeling.emft.wazaabi,0,0,4,5
modeling.epsilon,2,100,4,5
modeling.fmc,0,0,4,5
modeling.gendoc,3,0,4,5
modeling.gmf-notation,0,80,4,5
modeling.gmf-runtime,0,80,4,5
modeling.gmp,0,0,0,0
modeling.gmp.gmf-tooling,12,100,4,5
modeling.gmt,0,0,0,5
modeling.gmt.amw,0,0,4,5
modeling.graphiti,22,20,4,5
modeling.incquery,8,40,4,5
modeling.m2t,0,0,0,5
modeling.m2t.jet,0,0,4,5
modeling.m2t.xpand,0,60,4,5
modeling.mdt,0,50,0,5
modeling.mdt.bpmn2,1,50,4,5
modeling.mdt.etrice,3,80,4,5
modeling.mdt.imm-releng,0,0,0,0
modeling.mdt.modisco,33,60,4,5
modeling.mdt.ocl,11,80,4,5
modeling.mdt.papyrus,21,40,4,5
modeling.mdt.rmf,3,25,4,5
modeling.mdt.uml2,24,40,4,5
modeling.mdt.xsd,0,80,4,5
modeling.mmt,0,0,0,5
modeling.mmt.atl,0,60,4,5
modeling.mmt.qvt-oml,22,60,4,5
modeling.mmt.qvtd,11,20,4,5
modeling.sirius,3,60,4,5
modeling.sphinx,21,50,4,5
modeling.tmf,0,0,0,5
modeling.tmf.xtext,0,40,4,5
modeling.umlgen,0,0,0,5
modeling.upr,3,0,4,5
modeling.viatra,1,100,4,5
mylyn,0,40,4,5
mylyn.builds,0,0,4,5
mylyn.commons,0,0,4,5
mylyn.context,0,0,4,5
mylyn.context.mft,0,20,4,5
mylyn.docs,0,0,4,5
mylyn.docs.intent,0,100,4,5
mylyn.docs.vex,0,33.3333333333333,4,5
mylyn.incubator,0,0,4,5
mylyn.reviews,0,0,4,5
mylyn.reviews.r4e,0,100,4,5
mylyn.tasks,0,0,4,5
mylyn.versions,0,0,4,5
rt,0,0,3,5
rt.apricot,0,0,4,5
rt.ebr,0,0,0,0
rt.ecf,0,60,4,5
rt.eclipselink,0,20,4,5
rt.equinox,18,80,4,5
rt.equinox.bundles,0,0,4,5
rt.equinox.framework,0,0,4,5
