Project,KLOC,NCC,NCC_ANA,NCC_CHA,NCC_COR,NCC_EFF,NCC_MAT,NCC_POR,NCC_REL,NCC_RES,NCC_REU,NCC_SEC,NCC_TES,NCC_THR,RKO_ANA,RKO_CHA,RKO_COR,RKO_EFF,RKO_MAT,RKO_POR,RKO_REL,RKO_RES,RKO_REU,RKO_SEC,RKO_TES,RKO_THR,ROKR,ROKR_ANA,ROKR_CHA,ROKR_COR,ROKR_EFF,ROKR_MAT,ROKR_POR,ROKR_REL,ROKR_RES,ROKR_REU,ROKR_SEC,ROKR_TES,ROKR_THR,ROK_ANA,ROK_CHA,ROK_COR,ROK_EFF,ROK_MAT,ROK_POR,ROK_REL,ROK_RES,ROK_REU,ROK_SEC,ROK_TES,ROK_THR,RULES,RULES_ANA,RULES_CHA,RULES_COR,RULES_EFF,RULES_MAT,RULES_POR,RULES_REL,RULES_RES,RULES_REU,RULES_SEC,RULES_TES,RULES_THR
capella,672,98283,14098,2848,17,2587,12,10,4996,0,77424,128,1765,6,37,12,4,10,2,1,16,0,8,7,1,1,40.8450704225352,41.2698412698413,36.8421052631579,94.2028985507246,41.1764705882353,0,66.6666666666667,65.9574468085106,0,55.5555555555556,73.0769230769231,0,87.5,26,7,65,7,0,2,31,0,10,19,0,7,213,63,19,69,17,2,3,47,0,18,26,1,8
cdt,1224,181350,28410,5153,216,3401,201,468,7183,0,139754,2244,1102,132,46,14,22,11,2,2,21,0,13,13,1,3,58.2159624413146,26.984126984127,26.3157894736842,68.1159420289855,35.2941176470588,0,33.3333333333333,55.3191489361702,0,27.7777777777778,50,0,62.5,17,5,47,6,0,1,26,0,5,13,0,5,213,63,19,69,17,2,3,47,0,18,26,1,8
ease,18,3434,574,107,5,81,2,21,265,0,2517,12,26,4,21,7,2,7,1,1,11,0,8,2,1,1,23.943661971831,66.6666666666667,63.1578947368421,97.1014492753623,58.8235294117647,50,66.6666666666667,76.5957446808511,0,55.5555555555556,92.3076923076923,0,87.5,42,12,67,10,1,2,36,0,10,24,0,7,213,63,19,69,17,2,3,47,0,18,26,1,8
egit,124,19775,1491,229,1,195,1,2,353,0,17781,21,44,0,22,9,1,6,1,2,11,0,8,3,1,0,26.2910798122066,65.0793650793651,52.6315789473684,98.5507246376812,64.7058823529412,50,33.3333333333333,76.5957446808511,0,55.5555555555556,88.4615384615385,0,0,41,10,68,11,1,1,36,0,10,23,0,0,213,63,19,69,17,2,3,47,0,18,26,1,8
emf-compare,124,29295,1153,149,0,225,0,4,518,0,27577,6,46,0,23,7,0,7,0,1,11,0,7,1,1,0,23.4741784037559,63.4920634920635,63.1578947368421,0,58.8235294117647,0,66.6666666666667,76.5957446808511,0,61.1111111111111,96.1538461538462,0,0,40,12,0,10,0,2,36,0,11,25,0,0,213,63,19,69,17,2,3,47,0,18,26,1,8
gendoc,20,3081,305,85,7,53,17,27,91,0,2532,71,29,1,22,7,3,7,2,1,9,0,7,6,1,1,26.7605633802817,65.0793650793651,63.1578947368421,95.6521739130435,58.8235294117647,0,66.6666666666667,80.8510638297872,0,61.1111111111111,76.9230769230769,0,87.5,41,12,66,10,0,2,38,0,11,20,0,7,213,63,19,69,17,2,3,47,0,18,26,1,8
hudson,150,11930,1741,511,17,347,78,68,380,0,9043,86,34,11,29,10,3,10,2,2,19,0,8,9,1,1,38.4976525821596,53.968253968254,47.3684210526316,95.6521739130435,41.1764705882353,0,33.3333333333333,59.5744680851064,0,55.5555555555556,65.3846153846154,0,87.5,34,9,66,7,0,1,28,0,10,17,0,7,213,63,19,69,17,2,3,47,0,18,26,1,8
kitalpha,108,1458,153,26,3,14,13,56,100,0,726,457,9,1,15,7,3,2,2,1,7,0,5,5,1,1,18.7793427230047,76.1904761904762,63.1578947368421,95.6521739130435,88.2352941176471,0,66.6666666666667,85.1063829787234,0,72.2222222222222,80.7692307692308,0,87.5,48,12,66,15,0,2,40,0,13,21,0,7,213,63,19,69,17,2,3,47,0,18,26,1,8
mylyn,3,1024,4,8,162,5,119,217,30,0,257,454,0,78,1,2,12,1,2,1,4,0,4,11,0,2,15.0234741784038,98.4126984126984,89.4736842105263,82.6086956521739,94.1176470588235,0,66.6666666666667,91.4893617021277,0,77.7777777777778,57.6923076923077,0,75,62,17,57,16,0,2,43,0,14,15,0,6,213,63,19,69,17,2,3,47,0,18,26,1,8
oomph,505,16025,2200,555,11,274,26,61,1254,0,12205,67,150,10,27,11,3,9,1,2,14,0,8,5,1,2,31.924882629108,57.1428571428571,42.1052631578947,95.6521739130435,47.0588235294118,50,33.3333333333333,70.2127659574468,0,55.5555555555556,80.7692307692308,0,75,36,8,66,8,1,1,33,0,10,21,0,6,213,63,19,69,17,2,3,47,0,18,26,1,8
papyrus,3189,299015,31434,4636,15,4617,25,16,7921,0,257960,654,1524,2,40,11,8,10,2,1,15,0,8,10,1,1,46.4788732394366,36.5079365079365,42.1052631578947,88.4057971014493,41.1764705882353,0,66.6666666666667,68.0851063829787,0,55.5555555555556,61.5384615384615,0,87.5,23,8,61,7,0,2,32,0,10,16,0,7,213,63,19,69,17,2,3,47,0,18,26,1,8
reqcycle,90,12412,1873,311,225,230,104,499,837,0,7842,1425,122,55,31,9,23,10,2,1,14,0,10,14,1,3,45.5399061032864,50.7936507936508,52.6315789473684,66.6666666666667,41.1764705882353,0,66.6666666666667,70.2127659574468,0,44.4444444444444,46.1538461538462,0,62.5,32,10,46,7,0,2,33,0,8,12,0,5,213,63,19,69,17,2,3,47,0,18,26,1,8
sirius,575,110224,8965,1980,10,1418,6,5,4093,0,96110,65,718,4,33,10,4,11,2,1,13,0,8,5,1,1,37.0892018779343,47.6190476190476,47.3684210526316,94.2028985507246,35.2941176470588,0,66.6666666666667,72.3404255319149,0,55.5555555555556,80.7692307692308,0,87.5,30,9,65,6,0,2,34,0,10,21,0,7,213,63,19,69,17,2,3,47,0,18,26,1,8
sisu,33,3500,278,192,4,75,0,4,184,0,2858,1,3,4,21,9,2,5,0,1,9,0,7,1,1,2,22.0657276995305,66.6666666666667,52.6315789473684,97.1014492753623,70.5882352941177,0,66.6666666666667,80.8510638297872,0,61.1111111111111,96.1538461538462,0,75,42,10,67,12,0,2,38,0,11,25,0,6,213,63,19,69,17,2,3,47,0,18,26,1,8
